t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.9501,0.8720
100,3.0533,0.8704
150,3.5569,0.8393
200,3.1510,0.8841
250,3.4825,0.8476
300,3.1473,0.8642
350,3.8863,0.8253
400,4.2535,0.8024
450,4.2868,0.8061
500,3.9182,0.8221
550,4.6131,0.7588
600,4.3702,0.7683
650,3.7517,0.7888
700,4.1927,0.7784
750,4.2585,0.7927
800,3.7040,0.7904
850,4.2138,0.7941
900,4.0771,0.7576
950,3.9066,0.8272
1000,4.1172,0.7939
1050,4.2894,0.8000
1100,3.9671,0.8447
1150,3.9571,0.8250
1200,3.9776,0.8261
1250,3.9740,0.8037
1300,4.1984,0.7904
1350,4.1540,0.7744
1400,3.8658,0.7866
1450,4.1530,0.7939
1500,4.3613,0.7500
1550,4.5209,0.7798
1600,4.5479,0.7697
1650,4.4819,0.7939
1700,4.4320,0.7791
1750,4.7594,0.7892
1800,5.3616,0.8012
1850,5.1576,0.8182
1900,5.0417,0.7811
1950,4.7778,0.8000
2000,5.6215,0.7633
2050,5.0257,0.8072
2100,5.5854,0.8554
2150,5.3047,0.8144
2200,5.2576,0.8313
2250,5.6252,0.7831
2300,5.4574,0.7927
2350,5.3469,0.7892
2400,4.5322,0.8000
2450,4.2605,0.8232
2500,4.8418,0.8024
2550,4.5175,0.7853
2600,4.8996,0.7914
2650,4.7145,0.7640
2700,4.8448,0.7683
2750,4.7752,0.8075
2800,4.5133,0.7736
2850,4.4999,0.7764
2900,4.4019,0.7799
2950,4.4813,0.7484
3000,4.3222,0.6994
3050,4.7168,0.7391
3100,4.8035,0.7469
3150,4.3625,0.7500
3200,4.7561,0.7785
3250,4.5345,0.7267
3300,4.9235,0.6826
3350,4.7457,0.7170
3400,4.6882,0.7244
3450,5.1999,0.7267
3500,4.6668,0.7160
3550,4.5430,0.7516
3600,4.0190,0.7484
3650,4.9792,0.7848
3700,4.6113,0.7178
3750,4.5981,0.7375
3800,4.4391,0.7593
3850,4.3625,0.7607
3900,4.5252,0.7702
3950,4.6305,0.7834
4000,5.1801,0.7391
4050,5.0364,0.7438
4100,5.0800,0.7595
4150,5.2402,0.7750
4200,5.1203,0.7669
4250,5.2526,0.7453
4300,5.5703,0.7362
4350,4.9938,0.7875
4400,4.6756,0.7610
4450,4.8666,0.7342
4500,4.7325,0.7250
4550,4.4805,0.7342
4600,4.8482,0.7547
4650,5.3340,0.7312
4700,5.2106,0.7296
4750,5.3951,0.7125
4800,5.7021,0.6957
4850,5.5357,0.7188
4900,5.5760,0.7250
4950,5.6429,0.6951
5000,5.9063,0.7044
5050,5.6003,0.7134
5100,5.8134,0.6848
5150,5.9106,0.6918
5200,5.8205,0.7055
5250,5.9205,0.7107
5300,6.1934,0.6687
5350,5.5636,0.6894
5400,6.0753,0.6914
5450,6.3068,0.6768
5500,6.2914,0.6748
5550,5.9041,0.6790
5600,5.8787,0.6687
5650,5.6859,0.6500
5700,5.7256,0.6049
5750,5.4974,0.6562
5800,5.7311,0.6750
5850,5.7949,0.6625
5900,5.4958,0.6335
5950,5.9257,0.6438
6000,5.7928,0.6584
6050,5.6833,0.6296
6100,6.1019,0.6335
6150,6.1782,0.6111
6200,5.7959,0.6358
6250,5.9730,0.6605
6300,5.8343,0.6937
6350,5.8689,0.6667
6400,5.8949,0.6708
6450,6.7138,0.6296
6500,6.4091,0.6463
6550,6.3508,0.6386
6600,6.8295,0.6626
6650,6.8854,0.6424
6700,6.7648,0.6506
6750,7.3237,0.6748
6800,7.1297,0.7000
6850,7.7475,0.6768
6900,7.4982,0.6585
6950,7.2775,0.6667
7000,7.6259,0.6485
7050,7.2877,0.6667
7100,7.5901,0.6605
7150,7.0739,0.6280
7200,6.7212,0.6587
7250,6.5899,0.6524
7300,6.3324,0.6687
7350,6.4272,0.6460
7400,6.7420,0.6790
7450,6.6229,0.6460
7500,6.5346,0.7000
7550,6.3905,0.7044
7600,6.9325,0.6750
7650,7.1707,0.6541
7700,7.2095,0.6460
7750,7.4413,0.6708
7800,7.6183,0.6524
7850,7.8126,0.6424
7900,7.3150,0.6190
7950,6.8630,0.6506
8000,6.8018,0.6506
8050,5.8731,0.6790
8100,5.9178,0.6708
8150,6.0423,0.6750
8200,6.7646,0.6625
8250,6.7512,0.6524
8300,6.7952,0.6975
8350,6.9109,0.6420
8400,7.1806,0.6258
8450,7.0285,0.6398
8500,7.0953,0.6173
8550,7.3481,0.6398
8600,7.4519,0.6059
8650,7.5262,0.6303
8700,7.3627,0.6467
8750,7.9751,0.6364
8800,7.4499,0.6272
8850,7.8513,0.6353
8900,8.0672,0.6545
8950,8.5403,0.6627
9000,8.3101,0.7018
9050,8.0544,0.6951
9100,7.7357,0.6923
9150,8.1856,0.6864
9200,8.4684,0.6763
9250,8.0254,0.6982
9300,8.1353,0.7006
9350,8.0376,0.6882
9400,8.3726,0.6788
9450,8.3516,0.6707
9500,8.5485,0.6566
9550,8.1902,0.6788
9600,8.1407,0.6790
9650,8.4501,0.6788
9700,8.5587,0.6766
9750,8.8322,0.6687
9800,8.3664,0.7143
9850,8.4065,0.7099
9900,7.9918,0.6708
9950,8.2661,0.7117
10000,8.2590,0.6585
10050,8.4214,0.6957
10100,8.4585,0.6667
10150,8.0419,0.7055
10200,8.4601,0.6687
10250,8.5237,0.6545
10300,7.9236,0.6386
10350,8.4978,0.6707
10400,8.3103,0.6914
10450,8.5781,0.6488
10500,8.2461,0.6412
10550,8.2746,0.6512
10600,8.7843,0.6667
10650,8.9934,0.6467
10700,9.4055,0.6550
10750,9.1846,0.6453
10800,9.4171,0.6453
10850,8.6530,0.6416
10900,8.6589,0.6686
10950,8.3261,0.6369
11000,7.9032,0.6488
11050,8.2067,0.6407
11100,7.9257,0.6453
11150,8.2859,0.6450
11200,8.6951,0.6548
11250,8.6592,0.6337
11300,9.0409,0.6347
11350,8.5697,0.6131
11400,8.3393,0.6287
11450,8.5922,0.6250
11500,7.7536,0.6154
11550,8.1809,0.6059
11600,9.0363,0.6257
11650,9.0161,0.6590
11700,8.9544,0.6441
11750,9.0506,0.6441
11800,9.2511,0.6069
11850,8.6738,0.6136
11900,8.8664,0.6441
11950,9.6807,0.6532
12000,9.5140,0.6474
12050,9.2230,0.6550
12100,9.0245,0.6746
12150,9.2075,0.6552
12200,9.1529,0.6316
12250,8.6298,0.6207
12300,9.0889,0.6358
12350,9.2289,0.6235
12400,9.1900,0.5838
12450,8.6875,0.5523
12500,8.6551,0.5848
12550,8.7128,0.5595
12600,9.0097,0.5497
12650,9.0839,0.5294
12700,9.3385,0.5146
12750,9.4516,0.5000
12800,9.6549,0.5089
12850,9.2548,0.5029
12900,9.2864,0.5207
12950,9.6018,0.4798
13000,9.6618,0.5202
13050,9.8507,0.5115
13100,9.5946,0.5322
13150,9.3831,0.5266
13200,9.8508,0.4886
13250,9.6363,0.5172
13300,9.3264,0.4885
13350,9.4641,0.4972
13400,9.5717,0.5143
13450,9.2497,0.5429
13500,8.9645,0.5200
13550,9.2527,0.5455
13600,9.6745,0.5314
13650,9.9578,0.5260
13700,10.2310,0.4914
13750,10.2124,0.5235
13800,10.3854,0.5058
13850,10.4976,0.4913
13900,10.8770,0.5407
13950,10.8937,0.4886
14000,10.2781,0.4670
14050,10.0920,0.4804
14100,9.9585,0.5349
14150,9.4714,0.5200
14200,9.3732,0.5112
14250,9.1724,0.5116
14300,8.8344,0.5169
14350,8.6703,0.4972
14400,8.4260,0.4945
14450,9.0139,0.5057
14500,9.1816,0.4944
14550,8.7789,0.5056
14600,8.8795,0.4859
14650,9.1544,0.4971
14700,9.0754,0.5287
14750,8.4641,0.5198
14800,8.8403,0.4972
14850,8.4049,0.5000
14900,8.5077,0.5341
14950,8.6353,0.5257
15000,8.6154,0.5257
15050,8.7283,0.4914
15100,8.6148,0.4743
15150,8.3971,0.4602
15200,8.6453,0.4971
15250,8.6969,0.5141
15300,8.8308,0.5143
15350,9.0098,0.4778
15400,9.3769,0.4749
15450,9.3700,0.4699
15500,9.4213,0.4696
15550,9.1930,0.5000
15600,8.9394,0.4689
15650,9.0572,0.4916
15700,8.7008,0.5000
15750,9.2169,0.4798
15800,9.1847,0.4888
15850,8.7042,0.4749
15900,9.3997,0.4637
15950,8.9680,0.5000
16000,8.7700,0.5056
16050,8.2996,0.5341
16100,8.0997,0.5402
16150,7.9166,0.5196
16200,8.2043,0.5028
16250,8.2226,0.4751
16300,8.3120,0.4889
16350,7.9320,0.5027
16400,7.9776,0.5000
16450,7.8274,0.5000
16500,7.9410,0.5160
16550,8.0845,0.4624
16600,8.0757,0.4837
16650,8.5453,0.4696
16700,8.3094,0.5140
16750,8.4212,0.4972
16800,8.3881,0.5087
16850,7.9512,0.5167
16900,7.9204,0.5217
16950,8.1661,0.5172
17000,8.7172,0.5057
