t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.5154,0.8647
100,2.6676,0.8333
150,2.4763,0.8580
200,2.7829,0.8521
250,2.6219,0.8623
300,3.0435,0.8246
350,2.9626,0.8323
400,2.4201,0.8529
450,2.4616,0.8659
500,2.6819,0.8720
550,2.8107,0.8820
600,2.7882,0.8631
650,3.0449,0.8675
700,2.7822,0.8512
750,3.6356,0.7965
800,3.7471,0.7941
850,3.7232,0.8092
900,3.9861,0.8239
950,4.3932,0.7778
1000,4.0796,0.7797
1050,3.4992,0.7797
1100,3.8480,0.7898
1150,3.5998,0.8092
1200,3.7298,0.8353
1250,3.9655,0.8125
1300,3.7913,0.8218
1350,3.5250,0.7886
1400,3.5274,0.7791
1450,3.6157,0.7895
1500,3.0705,0.8059
1550,2.7939,0.7895
1600,2.8922,0.7803
1650,2.9906,0.7853
1700,3.1893,0.7898
1750,3.1933,0.7602
1800,3.2086,0.7714
1850,2.8379,0.7803
1900,2.5543,0.8235
1950,2.9568,0.7571
2000,2.9384,0.7976
2050,2.9408,0.8118
2100,2.6926,0.7616
2150,2.7651,0.7816
2200,3.2166,0.7919
2250,3.4506,0.7657
2300,3.1436,0.7765
2350,2.9589,0.7824
2400,2.6569,0.7616
2450,2.7621,0.7861
2500,2.8153,0.8023
2550,2.7637,0.7919
2600,3.3285,0.7701
2650,3.6559,0.7816
2700,3.4821,0.7727
2750,3.7996,0.7640
2800,3.4448,0.7571
2850,3.5627,0.7849
2900,3.8614,0.7701
2950,3.9779,0.7647
3000,3.8103,0.7857
3050,3.7698,0.7882
3100,3.7027,0.7784
3150,4.2239,0.7193
3200,4.2410,0.7235
3250,4.0691,0.7619
3300,5.0091,0.7079
3350,4.6644,0.7110
3400,4.7831,0.6927
3450,4.8751,0.7135
3500,4.6081,0.7318
3550,4.5487,0.7135
3600,4.1094,0.6957
3650,4.3460,0.7022
3700,4.3925,0.7143
3750,4.2835,0.7039
3800,3.9963,0.7159
3850,4.4964,0.7247
3900,4.7166,0.7095
3950,4.6588,0.7022
