t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,1.7494,0.8097
100,1.6709,0.8125
150,1.6988,0.7990
200,1.7498,0.8191
250,1.7716,0.8007
300,2.1898,0.8034
350,1.9810,0.8112
400,2.3056,0.8294
450,2.1685,0.8112
500,2.4550,0.8143
550,2.5379,0.7930
600,2.5620,0.7961
650,2.5076,0.7866
700,2.4987,0.8028
750,2.6810,0.7933
800,2.5400,0.7975
850,2.6627,0.7687
900,2.4777,0.7876
950,2.2846,0.7808
1000,2.3403,0.7832
1050,2.3427,0.7688
1100,2.3824,0.7703
1150,2.3150,0.7665
1200,2.1088,0.7759
1250,2.2132,0.7500
1300,2.0150,0.7449
1350,2.3283,0.7527
1400,2.0688,0.7547
1450,2.1387,0.7591
1500,2.4093,0.7605
1550,2.1151,0.7592
1600,2.1349,0.7570
1650,2.0298,0.7487
1700,2.1662,0.7672
1750,2.2305,0.7389
1800,2.0294,0.7399
1850,2.1264,0.7389
1900,2.2660,0.7394
1950,2.6332,0.7328
2000,2.1917,0.7451
2050,2.5053,0.7372
2100,2.3492,0.7404
2150,2.4444,0.7305
2200,2.3045,0.7160
2250,2.4016,0.7173
2300,2.4127,0.7296
2350,2.4093,0.7652
2400,2.2811,0.7540
2450,2.3455,0.7416
2500,2.0373,0.7351
2550,2.3304,0.7217
2600,2.6505,0.7231
2650,2.6196,0.7254
2700,2.9496,0.7188
2750,2.9298,0.7540
2800,2.8796,0.7387
2850,2.6715,0.7281
2900,2.5660,0.7220
2950,2.6495,0.7354
3000,2.7729,0.7452
3050,2.8525,0.7320
3100,2.9409,0.7322
3150,3.1160,0.7478
3200,3.2714,0.7338
3250,2.8938,0.7054
3300,3.5198,0.7009
3350,3.1843,0.7172
3400,3.6018,0.7029
3450,3.0872,0.7249
3500,3.2752,0.7391
3550,3.1110,0.7328
3600,3.0095,0.7158
3650,3.0471,0.7368
3700,2.8861,0.7215
3750,2.8925,0.7255
3800,3.0195,0.7213
3850,2.8528,0.7179
3900,2.9176,0.7314
3950,2.8799,0.7254
4000,2.7275,0.7138
4050,2.8661,0.7320
4100,2.9850,0.7119
4150,2.6505,0.6985
4200,2.2329,0.7271
4250,2.7395,0.7106
4300,2.7208,0.7434
4350,2.8601,0.7404
4400,2.6568,0.7145
4450,2.5280,0.7320
4500,2.4698,0.7207
4550,2.4977,0.7417
4600,2.6496,0.7135
4650,2.8266,0.7108
4700,2.4596,0.6940
4750,2.8763,0.7140
4800,3.0763,0.7241
4850,3.0542,0.7175
4900,2.9419,0.7043
4950,2.7607,0.7182
5000,2.5652,0.7082
5050,2.4160,0.7240
5100,2.5759,0.7070
5150,2.8962,0.7170
5200,2.7749,0.7237
5250,2.7891,0.7378
5300,2.5324,0.7461
5350,2.6238,0.7281
5400,2.9740,0.7232
5450,2.7964,0.7357
5500,3.0117,0.7088
5550,2.8377,0.7081
5600,2.6428,0.7418
5650,2.6567,0.7155
5700,2.4796,0.7205
5750,2.4975,0.7098
5800,2.6922,0.6944
5850,2.4820,0.7150
5900,2.4782,0.7088
5950,2.6670,0.7284
6000,2.7692,0.7024
6050,2.5518,0.7123
6100,2.7111,0.7120
6150,2.5551,0.7188
6200,2.5867,0.7080
6250,2.6688,0.7143
6300,2.6796,0.7206
6350,2.9178,0.7224
6400,2.7048,0.7287
6450,2.6781,0.7200
6500,2.5464,0.7150
6550,2.7439,0.7116
6600,2.7978,0.7143
6650,2.9992,0.6919
6700,2.9396,0.7106
6750,2.9068,0.6867
6800,3.0383,0.6822
6850,3.1192,0.6932
6900,2.6705,0.6819
6950,2.7210,0.7135
7000,2.6722,0.6811
7050,2.9465,0.6838
7100,3.2041,0.6888
7150,3.3294,0.6739
7200,3.1390,0.6832
7250,3.1635,0.6790
7300,3.2472,0.6656
7350,3.6400,0.7005
7400,3.5344,0.6859
7450,3.5704,0.6722
7500,3.5100,0.6700
7550,3.7270,0.6545
7600,3.3021,0.6650
7650,3.4704,0.6638
7700,3.5389,0.6582
7750,3.3968,0.6695
7800,3.1877,0.6896
7850,3.6315,0.6990
7900,3.5621,0.6922
7950,3.4211,0.6824
8000,3.3752,0.6852
8050,3.2971,0.6797
8100,3.3193,0.6751
8150,3.2550,0.6824
8200,3.1569,0.6700
8250,3.6576,0.6905
8300,3.4922,0.6962
8350,3.2465,0.6734
8400,3.5216,0.6600
8450,3.1140,0.6638
8500,3.3141,0.6838
8550,3.6722,0.6793
8600,3.7436,0.6781
8650,3.5235,0.6757
8700,3.6607,0.6806
8750,3.2009,0.7009
8800,3.2489,0.6959
8850,3.4301,0.6879
8900,3.1691,0.6927
8950,3.5068,0.6878
9000,3.0844,0.6870
9050,2.9307,0.6707
9100,3.0179,0.6627
9150,2.8642,0.6592
9200,3.0857,0.6650
9250,2.9518,0.6644
9300,3.2818,0.6753
9350,3.1609,0.6661
9400,3.6407,0.6420
9450,3.7427,0.6497
9500,4.1591,0.6593
9550,4.0546,0.6542
9600,4.3602,0.6489
9650,3.9213,0.6486
9700,4.1348,0.6588
9750,4.2700,0.6553
9800,4.6324,0.6643
9850,4.1091,0.6520
9900,4.0938,0.6444
9950,4.1683,0.6436
10000,4.0585,0.6538
10050,3.8274,0.6509
10100,4.2410,0.6409
10150,4.1663,0.6655
10200,4.2184,0.6517
10250,4.3992,0.6644
10300,4.4623,0.6712
10350,4.3236,0.6695
10400,4.4195,0.6469
10450,4.7911,0.6100
10500,4.9343,0.6589
10550,4.4323,0.6252
10600,4.3936,0.6436
10650,4.4049,0.6421
10700,4.3818,0.6462
10750,4.2771,0.6554
10800,4.4823,0.6489
10850,4.2960,0.6475
10900,4.3051,0.6494
10950,4.3128,0.6470
11000,4.1472,0.6321
11050,3.9691,0.6527
11100,3.5481,0.6734
11150,3.7620,0.6382
11200,3.6294,0.6489
11250,3.8554,0.6341
11300,3.7427,0.6513
11350,3.8095,0.6465
11400,4.0106,0.6419
11450,3.7671,0.6423
11500,3.8757,0.6290
11550,3.8866,0.6180
11600,3.9806,0.6144
11650,3.8728,0.6197
11700,3.8531,0.6268
11750,4.0044,0.6045
11800,4.1299,0.5962
11850,4.1504,0.6036
11900,3.7973,0.5980
11950,4.1033,0.6029
12000,4.0444,0.6013
12050,3.8842,0.6172
12100,3.8888,0.6088
12150,3.9733,0.6069
12200,3.8817,0.6141
12250,4.0540,0.6090
12300,3.9981,0.6169
12350,3.9119,0.6120
12400,3.9463,0.6026
12450,4.0713,0.5909
12500,3.9852,0.6016
12550,4.0033,0.6136
12600,4.3270,0.6075
12650,4.2690,0.6117
12700,4.1702,0.6166
12750,4.1907,0.6170
12800,4.0791,0.6283
12850,4.1811,0.6207
12900,4.1711,0.6032
12950,4.2539,0.6010
13000,4.4421,0.5962
13050,4.4696,0.6023
13100,4.2433,0.6125
13150,4.3745,0.6055
13200,4.6169,0.6050
13250,4.1838,0.6110
13300,4.3838,0.6046
13350,4.1957,0.6127
13400,4.2789,0.6143
13450,4.2106,0.5932
13500,4.1117,0.5848
13550,4.0549,0.6107
13600,4.3271,0.5981
13650,4.2386,0.5933
13700,4.5293,0.6120
13750,4.5520,0.5912
13800,4.9258,0.5929
13850,4.9525,0.5958
13900,4.9986,0.6023
13950,4.8354,0.5833
14000,4.9446,0.5893
14050,4.8069,0.5952
14100,4.8620,0.6025
14150,5.0112,0.6170
14200,4.6777,0.6023
14250,4.9026,0.6141
14300,4.8949,0.6133
14350,4.7974,0.5987
14400,4.6848,0.6074
14450,4.9199,0.5820
14500,5.3116,0.5961
14550,5.3116,0.5868
14600,5.1781,0.5640
14650,5.1753,0.5803
14700,4.9772,0.5952
14750,5.0719,0.6010
14800,5.2653,0.5751
14850,5.0274,0.5753
14900,5.1495,0.5827
14950,4.8325,0.5850
