t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.1631,0.8098
100,2.3704,0.7855
150,2.3177,0.8149
200,2.3611,0.8087
250,2.6189,0.8022
300,2.6036,0.8065
350,2.3355,0.8027
400,2.8017,0.8310
450,2.5364,0.7935
500,2.4359,0.8209
550,2.4279,0.7918
600,2.4220,0.7760
650,2.3383,0.7906
700,2.3046,0.7906
750,2.6568,0.7989
800,2.6933,0.7929
850,2.6633,0.7796
900,2.8627,0.7639
950,2.8445,0.8061
1000,2.9898,0.7826
1050,2.9797,0.7832
1100,3.0038,0.7855
1150,2.6020,0.7879
1200,2.9978,0.7738
1250,2.8155,0.7375
1300,2.8173,0.7487
1350,2.6037,0.7634
1400,2.6700,0.7588
1450,2.4727,0.7580
1500,3.0358,0.7587
1550,2.7463,0.7520
1600,2.9370,0.7480
1650,2.6856,0.7642
1700,2.6025,0.7473
1750,2.9041,0.7453
1800,2.8898,0.7219
1850,2.6609,0.7440
1900,2.9805,0.7219
1950,2.9916,0.7319
2000,3.0252,0.7355
2050,2.7162,0.7231
2100,2.9704,0.7439
2150,2.7831,0.7411
2200,2.8178,0.7358
2250,2.9719,0.7548
2300,3.2451,0.7676
2350,3.1252,0.7439
2400,3.4345,0.7254
2450,3.5396,0.7301
2500,3.7928,0.7280
2550,4.0526,0.7181
2600,3.9022,0.7116
2650,4.0237,0.7227
2700,3.9712,0.7232
2750,3.9461,0.7323
2800,4.0625,0.7454
2850,4.2458,0.7266
2900,4.2333,0.7147
2950,4.0281,0.7132
3000,3.9580,0.7196
3050,3.9063,0.7154
3100,4.0304,0.7273
3150,3.5803,0.7209
3200,4.0802,0.7194
3250,4.0207,0.7139
3300,3.8365,0.7345
3350,3.8374,0.7188
3400,3.7399,0.7330
3450,3.9710,0.7273
3500,4.1541,0.7224
3550,4.2435,0.7117
3600,4.0987,0.7039
3650,3.8654,0.6751
3700,3.3389,0.6921
3750,3.5223,0.7232
3800,3.4935,0.7306
3850,3.5459,0.7294
3900,3.9910,0.7107
3950,4.4060,0.7198
4000,4.8307,0.6987
4050,5.1288,0.7020
4100,5.0384,0.7249
4150,5.3285,0.7183
4200,4.7557,0.7320
4250,4.6375,0.7263
4300,4.4581,0.7199
4350,4.4663,0.7235
4400,4.2233,0.7192
4450,4.3024,0.7121
4500,4.4839,0.6997
4550,4.2183,0.7218
4600,4.3945,0.7218
4650,4.6896,0.6853
4700,4.1419,0.7042
4750,4.2687,0.6977
4800,4.2346,0.7215
4850,4.1322,0.7095
4900,4.1848,0.7005
4950,4.5602,0.6980
5000,4.3106,0.7051
5050,4.2022,0.6783
5100,3.9568,0.6972
5150,3.4542,0.6792
5200,3.5020,0.6937
5250,3.6333,0.7033
5300,3.6227,0.7136
5350,3.9293,0.7010
5400,3.5437,0.7113
5450,3.6096,0.6675
5500,3.8377,0.6503
5550,3.7354,0.6711
5600,3.5642,0.6807
5650,3.7043,0.7116
5700,3.6673,0.6957
5750,3.8775,0.6862
5800,3.9800,0.6997
5850,4.0110,0.6995
5900,4.0721,0.7193
5950,3.8630,0.7090
6000,3.9464,0.7151
6050,4.1018,0.7310
6100,4.0785,0.7364
6150,4.2002,0.7248
6200,4.2270,0.7174
6250,3.8416,0.7048
6300,3.8481,0.6836
6350,3.6618,0.6853
6400,3.8033,0.6783
6450,3.6425,0.6676
6500,3.4274,0.6757
6550,3.5850,0.6676
6600,3.7373,0.6851
6650,3.5956,0.6898
6700,3.2142,0.6904
6750,3.2076,0.6880
6800,3.4386,0.7104
6850,3.6607,0.6836
6900,3.8568,0.6793
6950,3.7600,0.6915
7000,3.6395,0.6667
7050,3.5312,0.6883
7100,3.7962,0.6896
7150,4.0467,0.6865
7200,4.2596,0.6911
7250,4.3334,0.7046
7300,4.4397,0.6872
7350,4.2771,0.6773
7400,4.4566,0.6694
7450,4.3949,0.6846
7500,4.4364,0.6870
7550,4.2436,0.6852
7600,4.0991,0.6779
7650,4.1193,0.6814
7700,4.2922,0.6648
7750,4.4851,0.6676
7800,4.1460,0.6685
7850,4.4368,0.6621
7900,4.0611,0.6467
7950,4.2034,0.6307
8000,4.0937,0.6604
8050,4.2124,0.6477
8100,4.1755,0.6532
8150,4.2855,0.6766
8200,4.0491,0.6557
8250,3.9426,0.6511
8300,4.2083,0.6495
8350,3.9808,0.6373
8400,3.8771,0.6550
8450,4.2253,0.6630
8500,4.5296,0.6354
8550,4.7277,0.6541
8600,4.9579,0.6512
8650,4.8598,0.6442
8700,4.9780,0.6283
8750,4.5157,0.6270
8800,4.6113,0.6594
8850,4.6672,0.6117
8900,4.5751,0.6230
8950,4.7467,0.6213
9000,4.3102,0.6329
9050,4.6246,0.6156
9100,4.8009,0.6096
9150,4.6082,0.6280
9200,4.7667,0.6213
9250,4.9783,0.5957
9300,4.7638,0.6148
9350,4.8532,0.6071
9400,5.0765,0.6274
9450,5.0191,0.5946
9500,5.1825,0.6065
9550,5.6146,0.6123
9600,5.6325,0.5892
9650,5.7490,0.5882
9700,5.7393,0.5979
9750,5.6365,0.5963
9800,5.5375,0.5829
9850,5.8182,0.5801
9900,5.7178,0.5973
9950,5.7269,0.5937
10000,5.4962,0.6048
10050,5.7387,0.6022
10100,5.8690,0.5789
10150,5.7314,0.6101
10200,5.7562,0.6270
10250,5.7272,0.5842
10300,5.7117,0.6117
10350,5.7868,0.6059
10400,5.9946,0.6043
10450,6.0061,0.6312
10500,5.8625,0.6434
10550,5.9201,0.6085
10600,6.0506,0.6105
10650,5.9608,0.5995
10700,5.9532,0.6164
10750,6.2052,0.6233
10800,6.3691,0.6105
10850,6.0545,0.5932
10900,6.0990,0.5989
10950,6.2107,0.5833
11000,6.0643,0.5920
11050,5.9632,0.5798
11100,5.9447,0.5847
11150,5.7100,0.5794
11200,5.7627,0.5824
11250,5.7736,0.5849
11300,5.8621,0.5968
11350,5.8030,0.5942
11400,5.6717,0.5798
11450,5.7640,0.5895
11500,5.6277,0.5847
11550,5.7704,0.6042
11600,5.8034,0.5796
11650,5.6464,0.5767
11700,5.6135,0.5932
11750,5.8633,0.5937
11800,6.0521,0.5963
11850,6.0638,0.5858
11900,5.9460,0.5665
11950,5.9023,0.5726
12000,5.9709,0.5605
12050,5.9585,0.5643
12100,5.7062,0.5744
12150,5.7420,0.5722
12200,5.6891,0.5722
12250,5.9118,0.5822
12300,5.6019,0.5847
12350,5.8561,0.5893
12400,6.0898,0.5733
12450,6.2266,0.5666
12500,6.1678,0.5722
12550,6.2668,0.5663
12600,6.6860,0.5766
12650,6.3940,0.5777
12700,6.3485,0.5532
12750,6.4640,0.5547
12800,6.3675,0.5625
12850,6.6092,0.5578
12900,6.6945,0.5576
12950,6.6226,0.5377
13000,6.9966,0.5408
13050,6.4177,0.5630
13100,6.2743,0.5468
13150,6.2032,0.5519
13200,6.3929,0.5375
13250,6.5228,0.5462
13300,6.6493,0.5422
13350,6.9661,0.5478
13400,6.9478,0.5440
13450,6.8599,0.5417
13500,6.6777,0.5452
13550,6.6603,0.5326
13600,6.7833,0.5372
13650,6.9784,0.5249
13700,6.7489,0.5666
13750,6.5683,0.5711
13800,6.3332,0.5588
13850,6.3448,0.5538
13900,6.4736,0.5409
13950,6.5724,0.5635
14000,6.4880,0.5447
14050,6.3749,0.5365
14100,6.2124,0.5550
14150,6.5561,0.5366
14200,6.4170,0.5342
14250,6.3327,0.5452
14300,6.4860,0.5573
14350,6.5999,0.5575
14400,6.2997,0.5610
14450,6.6384,0.5636
14500,6.6301,0.5640
14550,7.0810,0.5373
14600,7.0873,0.5651
14650,7.0860,0.5561
14700,6.7485,0.5625
14750,6.7569,0.5417
14800,6.7251,0.5688
14850,6.5408,0.5796
14900,6.5144,0.5605
14950,6.5330,0.5596
15000,6.7768,0.5579
15050,6.7318,0.5584
15100,6.5034,0.5752
15150,6.7876,0.5845
15200,6.6969,0.5952
15250,6.5571,0.5932
15300,6.7992,0.5766
15350,6.5792,0.5684
15400,6.4974,0.5711
15450,6.3151,0.5780
15500,6.4687,0.5748
15550,6.6700,0.5579
15600,6.7283,0.5722
15650,6.7594,0.5605
15700,7.2894,0.5517
15750,7.0415,0.5495
15800,6.9354,0.5450
15850,6.8745,0.5520
15900,7.1763,0.5500
15950,7.0570,0.5535
16000,6.8646,0.5673
16050,6.6919,0.5582
16100,6.8566,0.5464
16150,6.8396,0.5359
16200,7.0476,0.5309
16250,7.2716,0.5599
16300,6.8784,0.5471
16350,6.6576,0.5699
16400,7.1079,0.5419
16450,6.4107,0.5567
16500,6.6077,0.5575
16550,6.8659,0.5640
16600,6.2744,0.5558
16650,6.3536,0.5471
16700,6.3108,0.5658
16750,6.1780,0.5677
16800,6.5542,0.5636
16850,6.5635,0.5643
16900,7.0181,0.5640
16950,7.0805,0.5544
17000,6.6583,0.5658
17050,6.7526,0.5474
17100,6.6112,0.5405
17150,6.8743,0.5462
17200,6.8664,0.5481
17250,6.8891,0.5594
17300,7.0608,0.5433
17350,6.8748,0.5363
17400,6.8569,0.5614
17450,7.0972,0.5481
17500,7.1504,0.5597
17550,7.1903,0.5391
17600,7.3186,0.5405
17650,7.4254,0.5249
17700,7.3789,0.5407
17750,6.8672,0.5294
17800,6.6542,0.5340
17850,7.3387,0.5103
17900,7.5299,0.5356
17950,7.4930,0.5181
18000,7.5837,0.5205
18050,7.5367,0.5115
18100,7.4925,0.5345
18150,7.4244,0.5115
18200,7.4957,0.5409
18250,7.4131,0.5234
18300,7.4831,0.5403
18350,7.7988,0.5412
18400,7.9830,0.5368
18450,8.1826,0.5541
18500,7.5919,0.5573
18550,7.9901,0.5474
18600,7.6519,0.5807
18650,7.7417,0.5462
18700,8.3543,0.5438
18750,8.0759,0.5579
18800,7.8256,0.5344
18850,7.7733,0.5665
18900,7.7752,0.5635
18950,8.1128,0.5642
19000,8.1134,0.5515
19050,8.2447,0.5691
19100,7.4451,0.5644
19150,7.8034,0.5625
19200,7.7738,0.5673
19250,7.6141,0.5599
19300,7.8135,0.5602
19350,7.5263,0.5656
19400,7.5865,0.5882
19450,7.6527,0.5699
19500,7.6244,0.5608
19550,7.1408,0.5447
19600,7.1324,0.5379
19650,7.3266,0.5699
19700,7.2982,0.5593
19750,7.0526,0.5418
19800,7.4871,0.5457
19850,7.3530,0.5619
19900,7.3890,0.5600
19950,7.2001,0.5729
20000,6.8217,0.5710
20050,6.9475,0.5643
20100,7.2680,0.5561
20150,6.9509,0.5452
20200,6.8872,0.5471
20250,7.0096,0.5648
20300,7.0797,0.5492
20350,7.2570,0.5651
20400,6.9018,0.5436
20450,6.9151,0.5536
20500,6.6094,0.5501
20550,6.8225,0.5359
20600,6.4891,0.5729
20650,7.1385,0.5536
20700,6.9498,0.5342
20750,7.0787,0.5505
20800,7.1172,0.5520
20850,7.1480,0.5404
20900,7.1663,0.5459
20950,7.4001,0.5350
21000,7.1771,0.5487
21050,6.9762,0.5614
21100,7.0441,0.5617
21150,7.1058,0.5539
21200,7.0987,0.5522
21250,6.9672,0.5623
21300,6.7695,0.5778
21350,6.8082,0.5625
21400,6.7456,0.5585
21450,6.7512,0.5547
21500,7.3478,0.5599
21550,7.0238,0.5342
21600,6.8649,0.5390
21650,6.9690,0.5615
21700,6.7329,0.5550
21750,6.7901,0.5508
21800,6.6233,0.5674
21850,6.9353,0.5590
21900,6.9605,0.5471
21950,6.5950,0.5685
22000,6.7074,0.5464
22050,6.0902,0.5703
22100,6.2243,0.5795
22150,6.1234,0.5688
22200,5.9859,0.5818
22250,5.8074,0.5906
22300,5.9554,0.5891
22350,6.1787,0.5995
22400,6.0697,0.5774
22450,6.3383,0.5788
22500,6.4147,0.5844
22550,6.3122,0.5703
22600,5.8015,0.5927
22650,5.9546,0.5849
22700,5.9431,0.5851
22750,5.3269,0.6201
22800,5.7687,0.6099
22850,5.6227,0.6280
22900,5.1880,0.5979
22950,5.3522,0.6385
23000,5.6734,0.6330
23050,5.6124,0.6323
23100,5.7479,0.6176
23150,5.7332,0.5890
23200,5.7764,0.6053
23250,6.1223,0.5744
23300,5.8601,0.5862
23350,5.7818,0.5963
23400,5.6933,0.6005
23450,5.5486,0.6085
23500,5.6700,0.6230
23550,5.5424,0.6127
23600,5.7301,0.6154
23650,5.6961,0.5915
23700,6.0492,0.6226
23750,5.9757,0.6170
23800,6.0612,0.6102
23850,6.1066,0.6119
23900,6.4437,0.6263
23950,6.4246,0.6123
24000,6.2531,0.6211
24050,6.3962,0.6189
24100,6.5611,0.6351
24150,6.4604,0.6496
24200,6.1684,0.6164
24250,6.4121,0.6127
24300,6.1299,0.5911
24350,5.9412,0.6197
24400,5.8900,0.6170
24450,6.2477,0.5884
24500,6.0937,0.5984
24550,6.4107,0.5922
24600,6.4705,0.5781
24650,6.3445,0.5864
24700,6.4516,0.6132
24750,6.1126,0.5984
24800,6.1508,0.6184
24850,6.1897,0.6213
24900,6.6493,0.5718
24950,6.3533,0.5651
25000,6.2220,0.5699
25050,6.1442,0.5916
25100,6.0796,0.5973
25150,6.0529,0.5838
25200,6.0279,0.5952
25250,5.6517,0.6032
25300,5.9487,0.5899
25350,5.5886,0.5778
25400,5.7870,0.5979
25450,5.7436,0.5942
25500,5.9996,0.5995
25550,5.6591,0.6074
25600,5.5239,0.6121
25650,5.2871,0.6127
25700,5.4909,0.6064
25750,5.4669,0.6079
25800,5.6995,0.6220
25850,5.6787,0.6230
25900,5.9519,0.5958
25950,6.0546,0.5822
26000,6.0928,0.5508
26050,6.2163,0.5573
26100,6.0281,0.5699
26150,6.3267,0.5556
26200,6.4365,0.5667
26250,6.3580,0.5714
26300,6.7715,0.5632
26350,6.3115,0.5622
26400,6.4047,0.5760
26450,6.4719,0.5824
26500,6.5247,0.5443
26550,6.6381,0.5538
26600,6.8535,0.5532
26650,7.1922,0.5535
26700,7.2823,0.5434
26750,7.1622,0.5476
26800,7.1551,0.5316
26850,7.0356,0.5452
26900,6.8930,0.5579
26950,7.0787,0.5299
27000,7.3174,0.5532
27050,7.2420,0.5354
27100,7.3937,0.5405
27150,7.1611,0.5424
27200,7.5157,0.5377
27250,7.5586,0.5518
27300,7.6231,0.5648
27350,7.4344,0.5450
27400,7.1524,0.5644
27450,7.2475,0.5398
27500,7.2721,0.5371
27550,7.1020,0.5345
27600,7.0802,0.5400
27650,7.3412,0.5387
27700,7.4056,0.5492
27750,7.0321,0.5625
27800,7.0814,0.5316
27850,6.9449,0.5440
27900,7.0549,0.5254
