t_ps,beta_core_rmsd,contact_jaccard
50,2.0797,0.8446
100,2.0027,0.8398
150,2.2318,0.8061
200,2.5044,0.8355
250,2.4468,0.8020
300,1.9220,0.7813
350,1.9862,0.8030
400,2.0342,0.7975
450,1.9316,0.7925
500,2.7175,0.7870
550,2.8304,0.7980
600,2.5546,0.8086
650,2.7640,0.7811
700,2.7252,0.7836
750,2.8585,0.7985
800,2.5529,0.8060
850,1.8833,0.7802
900,2.0628,0.7805
950,2.0042,0.7847
1000,2.0989,0.7744
1050,2.5409,0.7673
1100,2.3176,0.7822
1150,2.5423,0.7700
1200,2.5189,0.7719
1250,2.3411,0.7755
1300,2.3806,0.7706
1350,2.4636,0.7574
1400,2.2397,0.7450
1450,2.2541,0.7350
1500,2.4483,0.7775
1550,2.4672,0.7665
1600,2.2724,0.7500
1650,2.4576,0.7603
1700,2.7256,0.7376
1750,2.8017,0.7698
1800,2.9876,0.7462
1850,3.3635,0.7337
1900,3.6036,0.7239
1950,3.1052,0.7247
2000,3.4003,0.7082
2050,3.9950,0.6947
2100,3.3778,0.7220
2150,3.0875,0.7083
2200,3.5485,0.7098
2250,3.7431,0.7132
2300,3.6752,0.7268
2350,3.7449,0.7010
2400,3.5012,0.6927
2450,4.0015,0.6973
2500,3.7645,0.7111
2550,3.9384,0.7239
2600,4.6035,0.6897
2650,4.6782,0.6881
2700,5.0123,0.6993
2750,5.0262,0.7090
2800,5.3814,0.7090
2850,5.5593,0.7129
2900,5.4694,0.6813
2950,5.0920,0.7062
3000,5.4919,0.7282
3050,4.8979,0.7221
3100,4.8141,0.7225
3150,4.5903,0.7079
3200,5.2830,0.7399
3250,4.5817,0.7413
3300,5.3616,0.7171
3350,5.1025,0.7052
3400,4.9711,0.6923
3450,4.9051,0.7160
3500,4.9209,0.7132
3550,4.8606,0.7062
3600,4.6487,0.7126
3650,4.5322,0.7284
3700,4.6253,0.7250
3750,4.7231,0.7108
3800,4.7194,0.7132
3850,5.2249,0.6983
3900,5.0767,0.7213
3950,5.1239,0.7125
4000,4.8224,0.7052
4050,4.4981,0.7160
4100,4.9894,0.7037
4150,4.6097,0.7075
4200,3.8433,0.7143
4250,3.7579,0.7114
