t_ps,beta_core_rmsd,contact_jaccard
12300,6.6201,0.6055
12350,6.7102,0.6276
12400,6.6034,0.6194
12450,6.6005,0.6262
12500,6.4236,0.6432
12550,6.2870,0.6364
12600,6.3557,0.6288
12650,6.2431,0.6370
12700,6.1909,0.6303
12750,6.0940,0.6366
12800,6.1662,0.6136
12850,6.0414,0.6123
12900,6.4507,0.6009
12950,6.0048,0.6528
13000,5.7225,0.6093
13050,5.5227,0.5972
13100,5.5209,0.6090
13150,5.8741,0.6009
13200,5.6929,0.6128
13250,5.6261,0.6061
13300,5.8817,0.6066
13350,5.7975,0.6085
13400,5.9925,0.5814
13450,5.5294,0.5826
13500,5.8288,0.6056
13550,5.0815,0.5986
13600,5.7286,0.6276
13650,5.8310,0.6037
13700,5.5975,0.6167
13750,5.7742,0.5876
13800,6.0554,0.5787
13850,6.1330,0.5912
13900,6.3395,0.5981
13950,6.3553,0.6009
14000,6.5094,0.6094
14050,6.0055,0.6000
14100,5.7642,0.6074
14150,5.7983,0.6125
14200,5.9781,0.6227
14250,5.6777,0.5973
14300,5.3310,0.6061
14350,5.6278,0.6134
14400,5.4697,0.5903
14450,5.5116,0.5995
14500,5.4615,0.6065
14550,5.3376,0.5747
14600,5.9164,0.5926
14650,5.9391,0.5908
14700,5.8678,0.5744
14750,6.1438,0.5833
14800,5.9590,0.5847
14850,5.8065,0.5917
14900,5.3598,0.5963
14950,5.3065,0.5828
15000,5.2891,0.6131
15050,5.2629,0.5972
15100,5.3094,0.5870
15150,5.3915,0.6033
15200,5.4136,0.5803
15250,5.2651,0.5948
15300,5.2583,0.5912
15350,5.3353,0.5843
15400,5.3483,0.5758
15450,5.3222,0.5891
15500,5.1941,0.5957
15550,5.5639,0.5916
15600,5.6665,0.5949
15650,5.5707,0.5747
15700,5.5722,0.5833
15750,5.5493,0.5906
15800,5.7363,0.5935
15850,5.7304,0.6019
15900,5.9028,0.6028
15950,6.0395,0.5893
16000,5.9438,0.6161
16050,6.0016,0.6119
16100,5.8864,0.5829
16150,6.1133,0.5760
16200,5.9405,0.5751
16250,6.0380,0.5944
16300,6.0046,0.5932
16350,5.7382,0.5950
16400,6.0506,0.5860
16450,6.2046,0.5626
16500,6.1154,0.5624
16550,5.8956,0.5605
16600,5.8541,0.6059
16650,6.1171,0.5964
16700,6.4687,0.5811
16750,6.2568,0.5991
16800,6.1940,0.6079
16850,6.0776,0.5628
16900,5.9071,0.5866
16950,6.1092,0.6005
17000,6.1425,0.5854
17050,5.9377,0.6141
17100,5.9684,0.5731
17150,6.1533,0.5835
17200,6.4099,0.5814
17250,6.1188,0.5876
17300,6.1592,0.5888
17350,6.2654,0.5850
17400,6.0445,0.5638
17450,6.1031,0.5576
17500,6.3201,0.5653
17550,6.0931,0.5750
17600,6.3613,0.5584
17650,6.2085,0.5679
17700,6.2434,0.5556
17750,6.2667,0.5586
17800,6.5651,0.5442
17850,6.4690,0.5789
17900,6.6754,0.5876
17950,6.9528,0.5874
18000,6.7576,0.5738
18050,6.4330,0.5870
18100,6.6861,0.5508
18150,6.7758,0.5734
18200,6.6996,0.5535
18250,6.4065,0.5603
18300,6.3788,0.5561
18350,6.4888,0.5467
18400,6.5153,0.5648
18450,6.5064,0.5828
18500,6.2407,0.5858
18550,6.6985,0.5926
18600,6.6676,0.5837
18650,6.5994,0.5656
18700,6.7773,0.5612
18750,6.6097,0.5584
18800,6.2673,0.5576
18850,6.1598,0.5390
18900,7.0890,0.5678
18950,6.8237,0.5786
19000,6.7757,0.5658
19050,6.6225,0.5816
19100,6.4316,0.5691
19150,6.1634,0.5841
19200,6.5585,0.5638
19250,6.8311,0.5748
19300,6.9376,0.5688
19350,6.6433,0.5899
19400,6.7758,0.5711
19450,6.7603,0.5802
19500,7.1468,0.5767
19550,6.8289,0.5824
19600,6.5070,0.5767
19650,6.4971,0.5592
19700,7.0841,0.5607
19750,6.9561,0.5561
19800,7.1753,0.5491
19850,7.3462,0.5626
19900,7.3234,0.5336
19950,7.0830,0.5300
20000,6.9625,0.5517
20050,6.8449,0.5386
20100,6.7421,0.5257
20150,6.9814,0.5516
20200,7.4352,0.5237
20250,7.1760,0.5281
20300,6.9592,0.5473
20350,7.1495,0.5520
20400,7.2950,0.5505
20450,7.1370,0.5538
20500,6.7920,0.5255
20550,6.5576,0.5473
20600,6.5428,0.5501
20650,6.6557,0.5598
20700,6.6612,0.5590
20750,6.5019,0.5601
20800,7.0481,0.5614
20850,7.0884,0.5938
20900,6.8535,0.5864
20950,6.8185,0.5850
21000,7.1082,0.5862
21050,7.0618,0.5646
21100,6.6676,0.5646
21150,6.6393,0.5561
21200,6.7491,0.5679
21250,6.7674,0.5425
21300,7.0552,0.5596
21350,7.3583,0.5383
21400,7.2335,0.5459
21450,7.1854,0.5540
21500,7.0544,0.5543
21550,6.8397,0.5566
21600,7.0103,0.5598
21650,6.9070,0.5573
21700,7.1427,0.5465
21750,7.2321,0.5573
21800,6.9917,0.5685
21850,7.2257,0.5578
21900,7.5488,0.5424
21950,7.4046,0.5393
22000,7.3354,0.5631
22050,7.4233,0.5519
22100,7.5929,0.5653
22150,7.8336,0.5663
22200,7.9267,0.5430
22250,8.2399,0.5633
22300,8.1460,0.5545
22350,8.7653,0.5403
22400,8.1853,0.5657
22450,8.1967,0.5430
22500,8.3272,0.5509
22550,8.2019,0.5395
22600,8.3117,0.5319
22650,8.4664,0.5415
22700,8.2860,0.5435
22750,8.1172,0.5453
22800,8.5630,0.5509
22850,8.2154,0.5523
22900,8.4784,0.5449
22950,8.2985,0.5425
23000,8.4370,0.5612
23050,8.5531,0.5442
23100,8.3494,0.5455
23150,8.2747,0.5558
23200,8.0642,0.5509
23250,8.0780,0.5341
23300,7.9265,0.5359
23350,8.0145,0.5385
23400,7.7322,0.5455
23450,7.5863,0.5322
23500,7.6370,0.5459
23550,7.4585,0.5498
23600,7.3045,0.5507
23650,7.7783,0.5689
23700,7.9765,0.5588
23750,8.1852,0.5610
23800,8.1302,0.5583
23850,7.8832,0.5479
23900,8.0082,0.5605
23950,8.0029,0.5390
24000,7.5399,0.5570
24050,7.6912,0.5489
24100,7.3685,0.5533
24150,7.6086,0.5419
24200,7.7260,0.5423
24250,7.6036,0.5507
24300,7.5457,0.5420
24350,7.6082,0.5329
24400,7.6179,0.5442
24450,7.7729,0.5444
24500,7.8747,0.5553
24550,7.7652,0.5692
24600,7.6995,0.5563
24650,7.7588,0.5485
24700,7.8239,0.5530
24750,7.6168,0.5265
24800,7.8490,0.5499
24850,8.1272,0.5666
24900,7.9241,0.5608
24950,7.8946,0.5459
25000,7.6769,0.5434
25050,7.7431,0.5412
25100,7.4565,0.5635
25150,7.7764,0.5493
25200,7.5828,0.5417
25250,7.4958,0.5643
25300,7.5032,0.5548
25350,8.1294,0.5463
25400,7.8658,0.5352
25450,8.1219,0.5468
25500,7.8294,0.5378
25550,7.5863,0.5491
25600,7.8392,0.5654
25650,7.8133,0.5497
25700,7.9532,0.5482
25750,8.0455,0.5485
25800,7.6331,0.5529
25850,8.1248,0.5501
25900,8.3885,0.5514
25950,8.7432,0.5300
26000,9.0216,0.5390
26050,8.9034,0.5405
26100,8.9926,0.5560
26150,8.8439,0.5076
26200,8.8997,0.5447
26250,8.9197,0.5511
26300,9.0423,0.5661
26350,9.1705,0.5260
26400,9.3033,0.5499
26450,8.7840,0.5370
26500,9.2818,0.5538
26550,9.0715,0.5374
26600,9.1214,0.5468
26650,8.8501,0.5451
26700,8.5037,0.5764
26750,8.7354,0.5536
26800,8.4379,0.5698
26850,8.5899,0.5628
26900,8.5921,0.5588
26950,8.5581,0.5517
27000,9.1321,0.5431
27050,8.6448,0.5582
27100,9.2780,0.5667
27150,9.3205,0.5698
27200,9.1091,0.5447
27250,9.3178,0.5372
27300,9.1443,0.5396
27350,9.0845,0.5425
27400,9.1602,0.5521
27450,9.4217,0.5461
27500,9.2385,0.5489
