t_ps,beta_core_rmsd,contact_jaccard
50,3.4186,0.8113
100,2.9286,0.7910
150,2.8434,0.7886
200,3.4296,0.7846
250,3.9562,0.8005
300,3.6665,0.7914
350,3.8334,0.7772
400,3.8686,0.7674
450,3.9513,0.7875
500,4.1791,0.7707
550,4.0595,0.7838
600,3.9593,0.8184
650,3.9987,0.7882
700,4.0029,0.7892
750,3.7891,0.7834
800,4.0232,0.7775
850,3.7064,0.7639
900,3.7692,0.7763
950,4.0063,0.7533
1000,3.8760,0.7778
1050,4.2071,0.7935
1100,4.0965,0.8016
1150,4.5326,0.8049
1200,4.4556,0.8098
1250,4.5504,0.7865
1300,4.3353,0.7793
1350,4.0035,0.7573
1400,4.2353,0.7778
1450,4.1252,0.7757
1500,4.0981,0.8189
1550,3.7407,0.7653
1600,4.1465,0.8017
1650,3.8889,0.8106
1700,4.1144,0.7922
1750,3.8744,0.8044
1800,3.9242,0.8167
1850,4.2628,0.7984
1900,3.8776,0.7811
1950,4.3467,0.7890
2000,3.8877,0.7908
2050,4.0461,0.7663
2100,3.8350,0.7896
2150,3.4365,0.7669
2200,3.6225,0.7886
2250,4.0656,0.7844
2300,3.7937,0.7682
2350,3.8986,0.7709
2400,4.0589,0.7614
2450,4.1369,0.7895
2500,4.1024,0.7769
2550,3.8500,0.7473
2600,3.9032,0.7582
2650,4.3824,0.7760
2700,4.4620,0.7514
2750,4.3963,0.7541
2800,4.1974,0.7431
2850,3.7191,0.7170
2900,4.0120,0.7535
2950,4.6391,0.7423
3000,4.2904,0.7273
3050,4.1055,0.7302
3100,3.9535,0.7611
3150,4.0707,0.7604
3200,4.0784,0.7667
3250,4.0290,0.7632
3300,3.6200,0.7446
3350,3.9818,0.7185
3400,3.9129,0.7089
3450,3.9153,0.7003
3500,4.1131,0.6877
3550,4.2549,0.6981
3600,4.4973,0.7089
3650,4.2708,0.7331
3700,4.7409,0.6932
3750,4.4308,0.7260
3800,4.3785,0.7073
3850,4.6667,0.7019
3900,4.8722,0.7067
3950,4.7427,0.6702
4000,4.7390,0.7073
4050,4.7680,0.6961
4100,4.6712,0.6989
4150,5.0002,0.6866
4200,4.7516,0.6870
4250,4.8781,0.6839
4300,4.8624,0.6310
4350,4.4540,0.6538
4400,4.7759,0.6797
4450,4.8356,0.6757
4500,5.1096,0.6721
4550,5.5009,0.6749
4600,5.2025,0.6773
4650,5.2715,0.6838
4700,5.0304,0.6676
4750,5.4153,0.6961
4800,5.6318,0.6567
4850,5.7704,0.6250
4900,5.9536,0.6105
4950,5.9270,0.6185
5000,5.8634,0.6393
5050,6.0513,0.6141
5100,5.7395,0.6294
5150,5.4811,0.6493
5200,5.5017,0.6466
5250,6.1077,0.6207
5300,5.7775,0.6297
5350,5.9133,0.6384
5400,6.5803,0.6396
5450,6.1113,0.6549
5500,6.6462,0.6504
5550,6.9817,0.6381
5600,6.3599,0.6381
5650,6.3468,0.6676
5700,5.7724,0.6605
5750,5.7772,0.6711
5800,5.4218,0.6614
5850,5.3618,0.6676
5900,5.6492,0.6595
5950,5.4667,0.6612
6000,5.6648,0.6684
6050,5.7318,0.6774
6100,5.3104,0.6877
6150,5.3258,0.6620
6200,4.9700,0.6986
6250,5.3162,0.6722
6300,5.1133,0.6841
6350,5.0822,0.6648
6400,5.3084,0.6096
6450,5.3544,0.6303
6500,5.7245,0.6402
6550,5.0719,0.6649
6600,5.0094,0.6283
6650,5.4083,0.6587
6700,5.2722,0.6693
6750,5.5317,0.6515
6800,5.7592,0.6693
6850,5.6344,0.6870
6900,5.8126,0.6804
6950,5.4798,0.6969
7000,5.0950,0.6788
7050,5.0973,0.7056
7100,4.9015,0.6862
7150,4.8774,0.6816
7200,4.9641,0.6597
7250,5.0701,0.6887
7300,5.3462,0.6773
7350,5.3637,0.6800
7400,5.2051,0.6632
7450,5.1058,0.6859
7500,5.7751,0.6598
