t_ps,beta_core_rmsd,contact_jaccard
50,1.9196,0.8355
100,2.1355,0.8186
150,1.7862,0.8256
200,1.7207,0.8222
250,1.9115,0.8184
300,2.2642,0.7944
350,2.1431,0.8030
400,1.7667,0.8042
450,1.8947,0.8143
500,2.1368,0.8058
550,2.1549,0.7897
600,2.4313,0.7789
650,1.9739,0.7883
700,2.1894,0.7837
750,2.6627,0.7953
800,2.2913,0.7887
850,2.4322,0.7619
900,2.3684,0.7661
950,2.0230,0.7704
1000,2.3268,0.7698
1050,2.2810,0.7589
1100,2.2140,0.7338
1150,2.0833,0.7614
1200,2.2835,0.7570
1250,2.3556,0.7531
1300,2.0530,0.7700
1350,2.3247,0.7546
1400,2.3550,0.7577
1450,2.4510,0.7775
1500,2.3760,0.7646
1550,1.8906,0.7990
1600,1.9805,0.7904
1650,2.0093,0.7821
1700,2.3355,0.7775
1750,1.8400,0.7671
1800,2.4926,0.7938
1850,2.6610,0.7990
1900,2.5146,0.7758
1950,2.5165,0.7969
2000,2.7562,0.8026
2050,2.5461,0.7663
2100,2.8555,0.7725
2150,2.6804,0.7797
2200,2.5001,0.7764
2250,2.5040,0.7812
2300,2.5119,0.7902
2350,2.4923,0.7671
2400,2.5589,0.7755
2450,2.4657,0.7372
2500,2.7212,0.7243
2550,2.4048,0.7506
2600,2.0266,0.7442
2650,2.4049,0.7391
2700,2.6529,0.7400
2750,2.3561,0.7732
2800,2.4356,0.7563
2850,2.4068,0.7692
2900,2.6365,0.7657
2950,2.5471,0.7640
3000,2.6230,0.7494
3050,2.3186,0.7525
3100,3.1354,0.7424
3150,2.6971,0.7532
3200,3.3035,0.7308
3250,2.6901,0.7226
3300,2.8380,0.7487
3350,3.3247,0.7396
3400,2.6332,0.7299
3450,2.6951,0.7325
3500,2.7677,0.7320
3550,2.5962,0.7335
3600,3.2868,0.7268
3650,3.4206,0.7101
3700,3.3169,0.7363
3750,3.3136,0.7273
3800,3.2120,0.6983
3850,2.9289,0.7418
3900,3.2517,0.7114
3950,3.4071,0.7037
4000,3.2641,0.7101
4050,3.8908,0.6884
4100,3.9889,0.6917
4150,3.6347,0.6995
4200,3.8351,0.6990
4250,3.8994,0.7132
4300,3.7786,0.7066
4350,3.5965,0.6949
4400,3.3240,0.6949
4450,3.8171,0.6961
4500,4.0151,0.6731
4550,3.7830,0.6878
4600,4.0723,0.6854
4650,3.8296,0.7056
4700,3.1884,0.6944
4750,3.5257,0.6812
4800,3.4589,0.6731
4850,3.2553,0.6805
4900,3.1899,0.6904
4950,3.0108,0.6897
5000,3.4244,0.7015
5050,3.4636,0.6757
5100,3.2830,0.6929
5150,3.0804,0.6683
5200,3.0876,0.6690
5250,3.2744,0.6789
5300,3.1826,0.6731
5350,3.4263,0.6683
5400,3.1112,0.6626
5450,3.3053,0.6699
5500,3.5381,0.6618
5550,3.5246,0.6650
5600,3.5229,0.6731
5650,4.0893,0.6763
5700,4.0628,0.6788
5750,3.7699,0.6888
5800,3.7449,0.6803
5850,3.9400,0.6747
5900,4.0241,0.6699
5950,3.4254,0.6886
6000,3.6760,0.6756
6050,3.7246,0.6627
6100,4.0693,0.6651
6150,3.8171,0.6884
6200,3.8005,0.6546
6250,3.8851,0.6634
6300,3.6535,0.6716
6350,3.3994,0.6854
6400,3.4544,0.6838
6450,3.4466,0.6823
6500,3.8762,0.6708
6550,3.7385,0.6577
6600,3.5531,0.6546
6650,3.4172,0.6740
6700,3.6643,0.6357
6750,3.2959,0.6569
6800,3.3580,0.6708
6850,3.2623,0.6691
6900,3.1855,0.6675
6950,3.0845,0.6700
7000,3.0968,0.6764
7050,3.3330,0.6731
7100,3.5208,0.6748
7150,2.9916,0.6798
7200,3.3936,0.6873
7250,3.4586,0.6817
7300,3.3177,0.6873
7350,3.7885,0.6650
7400,3.7850,0.6708
7450,3.3620,0.6691
7500,3.3446,0.6593
7550,3.4455,0.6578
7600,3.8725,0.6733
7650,3.5972,0.6618
7700,3.7205,0.6667
7750,3.6367,0.6699
7800,3.9095,0.6849
7850,3.9359,0.6725
7900,3.3085,0.6758
7950,3.5238,0.6634
8000,4.0261,0.6782
8050,4.0636,0.6725
8100,3.4420,0.6559
8150,3.5433,0.6757
8200,3.7468,0.6782
8250,4.3549,0.6650
8300,4.1558,0.6675
8350,3.8027,0.6757
8400,3.9509,0.6708
8450,3.6129,0.6601
8500,3.6834,0.6792
8550,3.6850,0.6667
8600,3.4269,0.6510
8650,3.2424,0.6782
8700,3.5621,0.6471
8750,3.7461,0.6469
8800,3.7859,0.6641
8850,3.6702,0.6776
8900,3.3991,0.6768
8950,3.5492,0.6658
9000,3.3506,0.6543
9050,3.6146,0.6516
9100,3.7384,0.6759
9150,3.5901,0.6574
9200,3.5861,0.6658
9250,3.6459,0.6815
9300,3.8703,0.6592
9350,3.8383,0.6801
9400,3.6118,0.6766
9450,3.4967,0.6534
