t_ps,beta_core_rmsd,contact_jaccard
50,2.1872,0.7889
100,2.5124,0.7903
150,2.2204,0.7819
200,2.3968,0.7674
250,2.5543,0.7553
300,2.5320,0.7624
350,3.0525,0.7825
400,2.7928,0.8211
450,2.7622,0.7995
500,2.9414,0.7978
550,3.3199,0.7925
600,2.9813,0.7851
650,3.3189,0.7952
700,3.1108,0.8093
750,3.1559,0.7763
800,3.1863,0.7958
850,3.0345,0.7738
900,3.4333,0.7661
950,3.3558,0.8005
1000,3.6398,0.7772
1050,3.8139,0.7755
1100,4.0417,0.7644
1150,4.0827,0.7519
1200,3.9267,0.7570
1250,3.9859,0.7340
1300,4.0835,0.7449
1350,4.1638,0.7558
1400,3.9782,0.7411
1450,3.9873,0.7178
1500,4.1507,0.7157
1550,4.1209,0.7367
1600,3.7579,0.7275
1650,4.2259,0.7293
1700,3.8133,0.7348
1750,3.8364,0.7406
1800,3.5321,0.7168
1850,3.3883,0.7412
1900,3.7417,0.7379
1950,3.7618,0.7289
2000,3.9712,0.6995
2050,4.4756,0.7201
2100,4.5117,0.7372
2150,4.2610,0.7277
2200,4.2240,0.7211
2250,4.2162,0.7005
2300,4.2268,0.6980
2350,4.1044,0.6881
2400,3.8161,0.6942
2450,3.9680,0.7078
2500,3.8286,0.7043
2550,4.5203,0.6975
2600,4.4584,0.6919
2650,4.8209,0.6873
2700,4.5700,0.6919
2750,4.7470,0.6983
2800,4.2830,0.7034
2850,4.1593,0.6990
2900,4.2153,0.6938
2950,3.9835,0.6875
3000,4.0674,0.6904
3050,3.8800,0.6692
3100,3.9095,0.6886
3150,3.3001,0.7008
3200,3.4252,0.6910
3250,3.6466,0.6947
3300,3.7899,0.6919
3350,3.8989,0.7028
3400,4.1826,0.6962
3450,3.7506,0.6972
3500,4.0906,0.6949
3550,3.9034,0.7031
3600,4.1864,0.6985
3650,4.1178,0.6768
3700,4.7379,0.6497
3750,4.5187,0.6450
3800,4.8316,0.6375
3850,5.1113,0.6456
3900,5.1554,0.6322
3950,5.1234,0.6275
4000,5.0976,0.6336
4050,5.1179,0.6632
4100,5.0329,0.6322
4150,5.1448,0.6269
4200,4.6825,0.6436
4250,4.5881,0.6532
4300,5.0083,0.6482
4350,4.7586,0.6650
4400,4.5856,0.6810
4450,4.4087,0.6641
4500,4.6470,0.6717
4550,4.7599,0.6825
4600,5.1960,0.6529
4650,4.9236,0.6792
4700,4.5931,0.6777
4750,4.6614,0.6785
4800,4.7468,0.6725
4850,4.2153,0.6827
4900,4.2262,0.6533
4950,4.5406,0.6592
5000,4.4413,0.6709
5050,4.4537,0.6972
5100,4.7934,0.6859
5150,4.6586,0.6717
5200,4.5236,0.6667
5250,4.4267,0.6460
5300,4.0706,0.6683
5350,4.5005,0.6692
5400,4.5478,0.6827
5450,4.2956,0.6810
5500,4.2930,0.6566
5550,4.4662,0.6536
5600,4.4817,0.6801
5650,4.2122,0.6880
5700,4.2202,0.6667
5750,4.5099,0.6816
5800,4.5981,0.6851
5850,4.9099,0.6742
5900,4.8531,0.6850
5950,5.1345,0.6667
6000,4.9727,0.6809
6050,5.2242,0.6642
6100,5.1611,0.6543
6150,4.9451,0.6716
6200,4.9901,0.6617
6250,4.8917,0.6557
6300,4.7255,0.6568
6350,4.8047,0.6869
6400,4.9196,0.6519
6450,4.5266,0.6552
6500,4.2091,0.6759
6550,3.9259,0.6566
6600,4.2490,0.6510
6650,4.3698,0.6550
6700,4.5191,0.6375
6750,4.3814,0.6361
6800,4.5771,0.6658
6850,4.4768,0.6633
6900,4.8766,0.6432
6950,4.6589,0.6617
7000,4.9054,0.6802
7050,4.9904,0.6472
7100,5.0025,0.6700
7150,4.7587,0.6675
7200,4.7371,0.6413
7250,4.8234,0.6510
7300,4.7872,0.6642
7350,5.1227,0.6567
7400,4.9466,0.6709
7450,4.7295,0.6510
7500,4.4850,0.6517
7550,4.6249,0.6469
7600,4.2611,0.6457
7650,4.3139,0.6468
7700,4.4813,0.6717
7750,4.5593,0.6443
7800,4.3281,0.6576
7850,4.3347,0.6551
7900,4.6457,0.6427
7950,4.4476,0.6607
8000,4.6601,0.6888
8050,4.6225,0.6617
8100,4.8483,0.6735
8150,4.8506,0.6735
8200,4.8441,0.6616
8250,5.1420,0.6463
8300,5.4218,0.6700
8350,5.8497,0.6617
8400,5.5837,0.6768
8450,5.7989,0.6539
8500,5.8501,0.6718
8550,6.3804,0.6493
8600,6.4481,0.6416
8650,6.6382,0.6615
8700,6.3367,0.6701
8750,6.2820,0.6549
8800,6.1384,0.6550
8850,5.9766,0.6633
8900,5.6398,0.6726
8950,5.3786,0.6557
9000,5.3476,0.6846
9050,5.4936,0.6718
9100,5.8008,0.6501
9150,5.8016,0.6683
9200,6.1323,0.6459
9250,5.8239,0.6509
