t_ps,beta_core_rmsd,contact_jaccard
12300,6.4290,0.6119
12350,6.3371,0.5868
12400,6.0008,0.6148
12450,5.7128,0.6169
12500,5.9304,0.6039
12550,5.9936,0.6030
12600,6.4197,0.6025
12650,5.9384,0.6059
12700,5.6316,0.6000
12750,5.7457,0.6064
12800,5.7679,0.6225
12850,5.3363,0.6287
12900,5.3662,0.6098
12950,5.5156,0.6154
13000,5.2040,0.6404
13050,5.1886,0.6222
13100,5.5730,0.6321
13150,5.3908,0.6192
13200,5.1150,0.6204
13250,5.0655,0.6398
13300,5.0764,0.6574
13350,5.0709,0.6633
13400,4.4879,0.6281
13450,4.9318,0.6448
13500,4.9899,0.6505
13550,5.0365,0.6633
13600,5.0735,0.7008
13650,4.9213,0.6744
13700,4.5566,0.6718
13750,4.9819,0.6675
13800,5.2017,0.6484
13850,4.9473,0.6650
13900,5.3462,0.6823
13950,5.3021,0.6727
14000,5.2651,0.6650
14050,5.5334,0.6623
14100,5.6178,0.6457
14150,5.8772,0.6427
14200,5.5336,0.6427
14250,4.9828,0.6582
14300,5.4685,0.6524
14350,5.3361,0.6368
14400,5.8509,0.6491
14450,5.7674,0.6510
14500,6.0571,0.6709
14550,6.5847,0.6542
14600,6.0767,0.6265
14650,6.0077,0.6352
14700,5.4674,0.6476
14750,5.6123,0.6244
14800,5.9377,0.6650
14850,5.8163,0.6568
14900,5.4561,0.6329
14950,5.6283,0.6537
15000,5.5565,0.6593
15050,5.2810,0.6406
15100,5.8241,0.6577
15150,5.8308,0.6527
15200,5.8839,0.6569
15250,5.9022,0.6399
15300,6.1148,0.6397
15350,6.0672,0.6463
15400,6.3040,0.6361
15450,6.1427,0.6609
15500,6.2430,0.6585
15550,6.0179,0.6584
15600,5.9701,0.6776
15650,6.1657,0.6842
15700,6.0682,0.6617
15750,5.8212,0.6883
15800,5.1863,0.6675
15850,5.0440,0.6759
15900,5.1903,0.7026
15950,5.2778,0.6897
16000,5.1198,0.6793
16050,5.0650,0.6575
16100,5.1557,0.6837
16150,4.9192,0.6904
16200,4.8924,0.6650
16250,5.2111,0.6633
16300,5.3313,0.6754
16350,5.2536,0.6802
16400,5.0640,0.7023
16450,5.5579,0.6992
16500,5.4556,0.6826
16550,5.4223,0.6625
16600,5.5841,0.6942
16650,5.2029,0.6725
16700,5.0416,0.7005
16750,5.2312,0.6708
16800,5.1296,0.6919
16850,5.3048,0.6921
16900,5.5563,0.6700
16950,5.7124,0.7020
17000,5.7018,0.6902
17050,5.5684,0.6896
17100,5.8467,0.6973
17150,6.1274,0.6826
17200,6.0114,0.6959
17250,5.9887,0.6931
17300,5.9483,0.6783
17350,5.8611,0.6925
17400,6.1309,0.6524
17450,6.2319,0.6436
17500,6.1165,0.6787
17550,5.9662,0.6709
17600,6.3017,0.6742
17650,6.2926,0.6977
17700,6.0513,0.6888
17750,6.2902,0.6592
17800,5.8045,0.6841
17850,5.9929,0.6834
17900,6.1065,0.6832
17950,6.3899,0.6979
18000,5.8437,0.7042
18050,5.9191,0.6929
18100,5.8820,0.6901
18150,5.9038,0.6718
18200,5.5762,0.6826
18250,5.6954,0.6524
18300,5.6330,0.6769
18350,5.4093,0.6727
18400,5.1341,0.6877
18450,5.2392,0.6769
18500,5.5286,0.6683
18550,5.6231,0.6753
18600,6.0298,0.7018
18650,6.2415,0.7043
18700,5.9547,0.6693
18750,5.9466,0.6952
18800,6.0876,0.7032
18850,5.9940,0.7000
18900,5.9041,0.6832
18950,5.3135,0.6675
19000,4.8173,0.6640
19050,4.7526,0.6807
19100,4.8829,0.6853
19150,5.1367,0.6941
19200,5.1999,0.6466
19250,5.7468,0.6545
19300,5.6660,0.6549
19350,5.9450,0.6405
19400,5.7034,0.6423
19450,6.1415,0.6336
19500,5.5002,0.6357
19550,5.9633,0.6667
19600,6.0585,0.6658
19650,5.9410,0.6535
19700,5.8095,0.6605
19750,5.6652,0.6518
19800,5.9011,0.6614
19850,5.6485,0.6427
19900,5.5152,0.6373
19950,5.4621,0.6332
20000,5.0690,0.6307
20050,5.4711,0.6471
20100,4.9578,0.6385
20150,5.1990,0.6391
20200,5.2800,0.6282
20250,5.1353,0.6114
20300,5.1533,0.6205
20350,5.2763,0.6250
20400,5.2130,0.6378
20450,5.1306,0.6384
20500,5.2926,0.6522
20550,5.0179,0.6317
20600,5.1183,0.6580
20650,5.2432,0.6209
20700,5.2436,0.6317
